comparison,baseline,variant,baseline_resolved,variant_resolved,baseline_success_rate,variant_success_rate,diff_variant_minus_baseline,diff_percent,n00_both_fail,n01_baseline_fail_variant_success,n10_baseline_success_variant_fail,n11_both_success,mcnemar_p_value_continuity_corrected,ci_low,ci_high,ci_low_percent,ci_high_percent
Baseline_vs_Active Only,Baseline,Active Only,194,207,0.388,0.414,0.026,2.6,246,60,47,147,0.2460146945477487,-0.014483956364608284,0.06648395636460828,-1.4483956364608284,6.648395636460829
Baseline_vs_Passive Only,Baseline,Passive Only,194,214,0.388,0.428,0.04,4.0,194,112,92,102,0.1834306189821781,-0.01587788229219307,0.09587788229219307,-1.587788229219307,9.587788229219306
Baseline_vs_Self-Reflection,Baseline,Self-Reflection,194,209,0.388,0.418,0.03,3.0,237,69,54,140,0.20682737249567146,-0.013394505572759563,0.07339450557275956,-1.3394505572759563,7.339450557275956
Baseline_vs_Generic Expert,Baseline,Generic Expert,194,215,0.388,0.43,0.042,4.2,246,60,39,155,0.044423184850006056,0.0031713375677777864,0.08082866243222223,0.31713375677777866,8.082866243222222
Baseline_vs_Taxonomy Expert,Baseline,Taxonomy Expert,194,224,0.388,0.448,0.06,6.0,207,99,69,125,0.025260301632012438,0.009464845661683638,0.11053515433831636,0.9464845661683639,11.053515433831636
